"X","GAD1","GAD2","GAD3","GAD4","GAD5","GAD6","GAD7","GADE","SWL1","SWL2","SWL3","SWL4","SWL5","Game","Platform","Hours","whyplay","streams","SPIN1","SPIN2","SPIN3","SPIN4","SPIN5","SPIN6","SPIN7","SPIN8","SPIN9","SPIN10","SPIN11","SPIN12","SPIN13","SPIN14","SPIN15","SPIN16","SPIN17","Narcissism","Gender","Age","Work","Degree","Birthplace","Residence","Playstyle","GAD_T","SWL_T","SPIN_T","Anxiety"
328,1,2,2,0,0,1,2,"Somewhat difficult",3,3,3,7,2,"League of Legends","PC",20,"Competition",10,2,0,3,3,3,2,0,3,4,3,1,3,1,2,2,1,0,2,"Male",23,"Student","Bachelors","Germany","Germany","Multiplayer",8,18,33,0
329,1,1,1,2,2,0,1,"Somewhat difficult",3,3,3,3,4,"Other","PC",4,"Fun",2,2,2,2,0,3,2,1,1,1,0,1,2,1,2,3,0,1,2,"Male",29,"Employed","Masters","Germany","Germany","Singleplayer",8,16,24,0
330,1,0,0,1,0,0,0,"Somewhat difficult",5,3,4,5,3,"Other","Console",13,"Competition",2,1,3,2,3,2,3,1,3,2,1,3,1,2,1,2,1,2,1,"Male",19,"Student","High School","Norway","Norway","Multiplayer",2,20,33,0
331,0,1,1,0,0,2,0,"Not difficult at all",6,7,6,6,6,"League of Legends","PC",20,"Competition",10,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,2,3,"Male",18,"Student","High School","Germany","Germany","Multiplayer",4,31,8,0
332,2,1,1,2,0,2,1,"Not difficult at all",4,3,6,5,3,"League of Legends","PC",48,"Competition",41,1,4,4,4,4,3,3,4,1,3,1,4,0,4,4,1,4,1,"Male",19,"Student","High School","Spain","Spain","Multiplayer",9,21,49,0
333,2,2,2,2,1,0,3,"Somewhat difficult",1,5,1,2,1,"League of Legends","PC",10,"Fun",20,2,4,4,4,4,4,1,4,4,4,4,4,0,4,4,1,1,2,"Male",23,"Student","High School","USA","USA","Multiplayer",12,10,53,1
334,1,1,3,1,2,3,2,"Somewhat difficult",5,5,6,6,5,"League of Legends","PC",30,"Competition",5,2,2,0,2,3,3,4,4,1,2,4,0,1,2,3,1,3,1,"Male",19,"Student","High School","Italy","Italy","Multiplayer",13,27,37,1
337,0,0,1,1,0,2,0,"Not difficult at all",5,6,5,6,3,"League of Legends","PC",20,"Competition",4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,"Male",28,"Employed","Masters","Belgium","Spain","Multiplayer",4,25,4,0
338,0,1,1,0,0,0,2,"Somewhat difficult",4,3,2,6,1,"League of Legends","PC",10,"Competition",20,1,4,1,2,1,2,4,2,3,1,4,0,0,1,4,1,1,2,"Male",18,"Unemployed","High School","Germany","Germany","Multiplayer",4,16,32,0
340,0,0,1,0,0,1,1,"Not difficult at all",5,5,5,5,2,"League of Legends","PC",25,"Competition",10,1,1,1,1,1,1,1,0,1,0,2,1,0,1,1,0,1,1,"Male",24,"Employed","Masters","Unknown","Ukraine","Multiplayer",3,22,14,0
341,1,1,2,1,1,1,1,"Not difficult at all",4,3,5,3,2,"League of Legends","PC",14,"Competition",3,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,"Male",24,"Unemployed","High School","South Africa","South Africa","Multiplayer",8,17,21,0
343,0,0,0,0,0,0,0,"Not difficult at all",6,6,6,6,5,"Other","PC",10,"Fun",1,1,3,2,4,0,2,0,1,1,4,4,2,1,3,2,2,1,3,"Male",19,"Student","High School","New Zealand","UK","Multiplayer",0,29,33,0
345,0,0,0,0,0,1,0,"Not difficult at all",5,5,6,3,2,"League of Legends","PC",49,"Competition",21,0,1,1,2,0,0,0,1,2,0,0,0,0,0,4,0,0,3,"Male",18,"Student","High School","Germany","Germany","Multiplayer",1,21,11,0
346,0,0,0,0,0,0,0,"Not difficult at all",2,6,4,2,2,"League of Legends","PC",30,"Competition",6,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,2,"Male",19,"Student","High School","Spain","Spain","Multiplayer",0,16,4,0
347,1,1,0,0,2,0,1,"Not difficult at all",3,3,4,4,2,"League of Legends","PC",14,"Competition",5,0,1,0,2,2,1,0,1,0,1,0,3,2,1,1,1,1,1,"Male",24,"Employed","Masters","Russia","Russia","Multiplayer",5,16,17,0
348,0,0,0,0,0,1,1,"Not difficult at all",5,4,6,5,2,"League of Legends","PC",45,"Fun",0,3,2,4,3,2,3,2,4,2,1,3,3,2,3,2,3,3,5,"Male",18,"Student","High School","USA","USA","Multiplayer",2,22,45,0
349,1,0,0,0,1,2,0,"Not difficult at all",7,7,6,5,6,"League of Legends","PC",42,"Competition",10,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,0,1,4,"Male",18,"Student","None","Germany","Germany","Multiplayer",4,31,8,0
350,0,0,0,0,0,0,0,"Not difficult at all",5,7,6,6,6,"League of Legends","PC",12,"Fun",20,0,0,0,1,1,0,0,0,1,0,1,1,0,1,3,0,0,1,"Male",30,"Employed","Masters","Belgium","Belgium","Multiplayer",0,30,9,0
351,1,0,0,0,0,0,1,"Somewhat difficult",3,6,6,4,2,"League of Legends","PC",25,"Competition",3,0,1,0,1,0,2,0,0,2,0,2,0,0,2,3,0,0,1,"Male",20,"Student","High School","France","France","Multiplayer",2,21,13,0
352,1,0,0,0,0,1,0,"Very difficult",2,3,5,2,1,"League of Legends","PC",20,"Competition",20,1,0,3,2,1,1,4,2,0,3,2,0,1,1,0,0,0,2,"Male",25,"Unemployed","Bachelors","UK","UK","Multiplayer",2,13,21,0
354,0,0,2,0,2,1,2,"Somewhat difficult",4,5,5,3,5,"League of Legends","PC",10,"Fun",15,2,3,0,0,1,1,0,0,1,0,4,2,0,3,0,1,0,1,"Male",23,"Employed","Bachelors","Denmark","Denmark","Multiplayer",7,22,18,0
355,2,1,1,3,3,1,0,"Very difficult",3,3,1,2,4,"League of Legends","PC",30,"Competition",40,0,0,2,3,2,2,0,4,0,1,0,1,0,1,4,0,0,3,"Male",28,"Employed","Bachelors","Brazil","Brazil","Multiplayer",11,13,20,1
356,0,0,0,0,1,1,0,"Not difficult at all",3,6,5,2,5,"League of Legends","PC",12,"Fun",2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,"Male",21,"Student","High School","Canada","Canada","Multiplayer",2,21,4,0
357,0,0,1,0,0,1,0,"Very difficult",2,4,6,4,1,"League of Legends","PC",16,"Fun",5,0,1,1,2,2,3,1,3,2,0,4,1,0,0,1,0,0,2,"Male",18,"Student","None","Poland","Poland","Multiplayer",2,17,21,0
358,0,3,2,1,0,1,0,"Somewhat difficult",2,3,7,4,5,"Other","PC",48,"Competition",20,0,1,0,2,2,4,2,1,2,2,2,0,0,0,2,0,0,1,"Male",19,"Student","High School","Germany","Germany","Multiplayer",7,21,20,0
361,1,0,1,0,0,1,1,"Not difficult at all",1,4,3,1,1,"Other","PC",25,"Fun",35,3,3,2,2,2,3,2,3,2,2,3,2,2,2,4,2,4,1,"Male",22,"Student","High School","Bulgaria","Bulgaria","Multiplayer",4,10,43,0
362,1,0,0,0,0,0,0,"Not difficult at all",6,6,6,6,6,"League of Legends","PC",6,"Fun",10,0,0,1,3,1,0,0,3,4,1,1,0,0,1,0,0,0,1,"Male",18,"Student","High School","USA","USA","Multiplayer",1,30,15,0
363,0,0,3,1,0,2,3,"Not difficult at all",4,4,3,2,3,"League of Legends","PC",35,"Fun",0,1,1,3,2,0,0,1,4,4,0,2,0,0,0,0,0,0,1,"Male",25,"Unemployed","High School","UK","Malaysia","Multiplayer",9,16,18,0
365,1,1,1,1,0,1,0,"Somewhat difficult",5,6,6,5,3,"League of Legends","PC",30,"Competition",10,2,1,0,3,1,2,2,1,3,1,2,0,1,1,1,1,1,3,"Male",23,"Student","Bachelors","Germany","Germany","Multiplayer",5,25,23,0
367,1,1,3,3,2,2,1,"Very difficult",2,2,3,2,3,"League of Legends","PC",30,"Competition",5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,"Female",23,"Student","Masters","Germany","Germany","Multiplayer",13,12,67,1
368,1,1,2,3,0,1,0,"Not difficult at all",5,2,3,1,2,"League of Legends","PC",22,"Fun",3,0,3,0,1,0,0,2,1,3,0,0,2,0,1,1,0,0,1,"Male",28,"Employed","Bachelors","Spain","Spain","Multiplayer",8,13,14,0
369,0,0,0,0,0,0,0,"Not difficult at all",2,5,4,3,3,"League of Legends","PC",21,"Fun",16,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,"Male",20,"Student","High School","Finland","Finland","Multiplayer",0,17,7,0
370,0,0,1,1,0,0,0,"Somewhat difficult",6,6,6,5,7,"Starcraft 2","PC",20,"Competition",20,1,2,0,1,1,2,4,0,2,1,1,2,0,1,2,0,0,2,"Male",21,"Student","Bachelors","Unknown","UK","Multiplayer",2,30,20,0
371,0,0,0,1,1,0,0,"Not difficult at all",3,3,5,4,2,"League of Legends","PC",3,"Fun",20,0,2,2,2,0,1,0,1,1,1,0,1,1,2,1,0,0,1,"Male",35,"Employed","Masters","Romania","Belgium","Multiplayer",2,17,15,0
372,3,3,3,0,0,0,1,"Extremely difficult",1,1,1,2,2,"League of Legends","PC",10,"Fun",15,1,0,1,1,3,3,1,0,3,0,4,2,1,1,1,0,1,1,"Male",18,"Student","None","Sweden","Sweden","Multiplayer",10,7,23,1
375,1,1,1,1,1,0,0,"Somewhat difficult",6,6,5,6,7,"League of Legends","PC",5,"Competition",20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,"Male",24,"Student","Masters","Switzerland","Switzerland","Multiplayer",5,30,3,0
376,0,1,1,0,0,0,0,"Not difficult at all",6,7,7,6,6,"Starcraft 2","PC",14,"Fun",0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,"Male",35,"Employed","Masters","Germany","Unknown","Multiplayer",2,32,4,0
377,0,0,1,0,0,0,0,"Not difficult at all",3,6,6,2,2,"League of Legends","PC",14,"Fun",21,0,1,1,2,1,2,0,0,0,1,2,1,0,0,0,1,0,1,"Male",21,"Student","High School","Croatia","Croatia","Multiplayer",1,19,12,0
378,1,1,2,1,1,1,0,"Somewhat difficult",3,3,5,2,4,"League of Legends","PC",40,"Competition",10,1,3,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,2,"Male",26,"Unemployed","Bachelors","Greece","Greece","Multiplayer",7,17,11,0
379,1,1,1,1,0,1,1,"Somewhat difficult",3,2,3,3,3,"Starcraft 2","PC",5,"Fun",10,0,0,2,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,"Male",26,"Student","Bachelors","Sweden","Sweden","Multiplayer",6,14,10,0
381,2,2,2,1,3,3,3,"Somewhat difficult",2,3,2,2,2,"League of Legends","PC",20,"Fun",20,2,2,2,3,2,2,3,4,4,3,3,2,2,3,3,2,3,2,"Male",19,"Employed","None","Germany","Germany","Multiplayer",16,11,45,1
382,0,0,0,0,0,0,0,"Not difficult at all",3,3,3,2,3,"League of Legends","PC",21,"Fun",3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,"Male",20,"Student","High School","USA","USA","Multiplayer",0,14,4,0
383,0,0,0,0,0,1,0,"Not difficult at all",6,6,6,5,4,"League of Legends","PC",40,"Competition",8,1,2,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,"Other",23,"Employed","Bachelors","USA","USA","Multiplayer",1,27,22,0
386,0,1,1,1,0,1,0,"Not difficult at all",4,7,5,2,2,"League of Legends","PC",10,"Competition",25,0,1,0,0,2,1,0,2,1,0,0,0,0,0,3,0,0,1,"Male",23,"Student","Bachelors","Mexico","Mexico","Multiplayer",4,20,10,0
387,1,0,0,0,0,1,0,"Somewhat difficult",3,7,6,5,6,"League of Legends","PC",15,"Competition",14,2,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Male",18,"Student","High School","USA","UK","Multiplayer",2,27,7,0
388,0,0,1,0,0,0,0,"Not difficult at all",5,5,6,6,6,"League of Legends","PC",12,"Fun",10,1,0,1,1,0,0,0,0,1,0,2,0,0,1,2,0,0,1,"Male",29,"Employed","Bachelors","USA","USA","Multiplayer",1,28,9,0
389,1,1,1,0,0,0,1,"Not difficult at all",2,4,6,4,6,"League of Legends","PC",20,"Fun",0,1,3,0,0,0,1,0,0,2,0,2,1,0,1,0,0,0,1,"Male",18,"Student","None","Serbia","Serbia","Multiplayer",4,22,11,0
390,1,3,2,3,1,2,2,"Very difficult",5,3,5,4,2,"League of Legends","PC",21,"Fun",21,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,3,4,"Male",29,"Student","Bachelors","Germany","Germany","Multiplayer",14,19,9,1
391,0,0,1,0,3,0,0,"Not difficult at all",5,5,6,5,4,"League of Legends","PC",12,"Fun",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Male",19,"Student","High School","Argentina","Brazil","Multiplayer",4,25,0,0
392,1,0,2,1,1,2,1,"Not difficult at all",6,5,7,5,5,"League of Legends","PC",30,"Fun",10,1,0,1,2,2,1,0,0,1,1,1,0,0,1,0,0,2,2,"Male",19,"Student","High School","Brazil","Brazil","Multiplayer",8,28,13,0
393,2,3,2,2,2,3,2,"Somewhat difficult",5,5,5,5,3,"League of Legends","PC",25,"Competition",5,1,1,2,3,4,3,3,3,4,2,3,4,3,3,3,2,3,1,"Female",22,"Student","Bachelors","Denmark","Denmark","Multiplayer",16,23,47,1
397,1,0,0,0,2,0,1,"Not difficult at all",4,5,5,5,6,"League of Legends","PC",30,"Fun",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Male",23,"Employed","Bachelors","USA","USA","Multiplayer",4,25,0,0
398,0,0,0,0,0,1,0,"Not difficult at all",3,3,4,3,3,"World of Warcraft","PC",15,"Fun",16,2,0,1,1,0,2,0,1,3,0,3,1,1,2,2,2,1,2,"Female",19,"Student","High School","Poland","UK","Multiplayer",1,16,22,0
400,1,0,1,1,1,1,2,"Not difficult at all",2,2,3,2,2,"League of Legends","PC",25,"Fun",12,1,2,1,0,1,1,0,0,2,0,1,1,0,1,2,0,0,1,"Male",23,"Student","None","Ukraine","Ukraine","Multiplayer",7,11,13,0
401,0,0,0,1,0,2,0,"Somewhat difficult",1,2,1,1,1,"Other","PC",40,"Competition",10,0,1,1,3,0,0,0,0,0,1,4,0,0,1,3,1,1,3,"Male",23,"Student","High School","Canada","Canada","Multiplayer",3,6,16,0
403,0,1,1,1,0,1,1,"Not difficult at all",5,6,5,5,3,"League of Legends","PC",14,"Fun",7,0,2,1,1,1,0,0,1,3,0,1,0,0,0,1,0,0,2,"Male",20,"Student","High School","Germany","Germany","Multiplayer",5,24,11,0
405,2,3,3,3,3,0,1,"Extremely difficult",1,6,2,2,5,"League of Legends","PC",12,"Competition",42,2,2,4,2,4,4,2,2,3,2,2,0,2,3,3,0,2,1,"Male",24,"Unemployed","High School","USA","USA","Multiplayer",15,16,39,1
406,2,2,2,2,2,2,2,"Very difficult",6,7,6,5,7,"Starcraft 2","PC",30,"Competition",8,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,"Male",23,"Employed","High School","Belgium","Belgium","Multiplayer",14,31,3,1
408,0,0,2,0,0,0,0,"Not difficult at all",6,7,6,7,4,"League of Legends","PC",2,"Fun",6,0,0,2,1,1,0,0,2,2,0,1,1,0,0,3,0,0,1,"Male",22,"Student","Bachelors","USA","USA","Multiplayer",2,30,13,0
409,2,0,2,1,0,1,2,"Not difficult at all",2,5,4,2,2,"League of Legends","PC",21,"Fun",4,1,2,1,0,2,0,0,1,0,0,2,0,0,1,1,0,0,4,"Male",21,"Student","High School","Poland","Poland","Multiplayer",8,15,11,0
410,0,0,0,0,0,0,0,"Not difficult at all",5,6,7,6,7,"League of Legends","PC",18,"Fun",10,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,"Male",20,"Student","High School","USA","USA","Multiplayer",0,31,5,0
411,2,2,1,3,3,2,2,"Very difficult",2,5,4,3,2,"League of Legends","PC",12,"Fun",15,0,1,0,0,2,0,2,0,2,0,4,1,2,1,3,2,1,1,"Male",30,"Employed","High School","USA","USA","Multiplayer",15,16,21,1
412,0,0,1,0,0,0,0,"Not difficult at all",6,6,6,4,3,"League of Legends","PC",15,"Fun",0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,"Male",22,"Student","High School","Venezuela","Argentina","Multiplayer",1,25,6,0
413,0,0,0,0,0,0,2,"Somewhat difficult",5,6,6,5,4,"League of Legends","PC",35,"Competition",12,0,0,0,2,2,1,0,0,1,0,3,0,0,1,0,0,0,1,"Male",18,"Student","Bachelors","Spain","Spain","Multiplayer",2,26,10,0
414,0,0,1,0,0,1,0,"Not difficult at all",4,5,5,4,4,"League of Legends","PC",20,"Fun",1,0,1,0,0,1,1,0,0,1,0,2,0,0,1,1,0,0,1,"Male",18,"Student","High School","Germany","Germany","Multiplayer",2,22,8,0
415,0,0,1,1,2,2,0,"Not difficult at all",6,7,7,6,7,"World of Warcraft","PC",20,"Fun",10,0,2,0,1,2,0,1,0,3,1,4,1,0,1,2,0,0,3,"Male",30,"Employed","Masters","Denmark","Denmark","Multiplayer",6,33,18,0
416,1,0,2,1,1,0,2,"Not difficult at all",5,6,6,5,7,"League of Legends","PC",10,"Competition",4,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,"Male",18,"Student","None","Macedonia","Macedonia","Multiplayer",7,29,4,0
417,1,0,1,0,1,3,3,"Extremely difficult",2,2,2,6,1,"League of Legends","PC",15,"Competition",15,0,0,0,0,3,0,0,2,1,0,0,1,0,1,1,0,0,1,"Male",21,"Student","High School","Montenegro","Canada","Multiplayer",9,13,9,0
418,2,1,1,0,0,1,0,"Not difficult at all",4,5,4,4,3,"League of Legends","PC",20,"Fun",5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,"Male",21,"Student","High School","USA","USA","Multiplayer",5,20,5,0
419,2,2,2,2,0,2,2,"Somewhat difficult",1,5,2,5,2,"League of Legends","PC",4,"Competition",15,1,2,2,3,3,1,0,0,1,0,1,1,0,1,4,0,0,3,"Male",28,"Employed","Masters","Algeria","Morocco","Multiplayer",12,15,20,1
420,1,0,1,0,0,0,2,"Somewhat difficult",2,5,4,4,3,"League of Legends","PC",40,"Fun",2,0,2,2,2,1,1,0,2,4,1,4,1,0,3,2,1,1,2,"Male",19,"Unemployed","High School","Sweden","Sweden","Multiplayer",4,18,27,0
421,1,1,1,2,0,3,0,"Very difficult",4,6,3,2,1,"League of Legends","PC",25,"Competition",5,1,3,1,3,2,3,2,1,3,2,4,1,2,3,4,0,1,2,"Male",18,"Student","High School","Germany","Germany","Multiplayer",8,16,36,0
422,0,0,0,1,0,0,0,"Not difficult at all",6,6,6,6,5,"League of Legends","PC",20,"Fun",10,0,0,2,2,0,0,0,3,0,1,1,0,0,0,0,0,0,1,"Male",21,"Student","Bachelors","USA","USA","Multiplayer",1,29,9,0
423,1,1,1,0,0,2,0,"Somewhat difficult",4,5,3,3,4,"League of Legends","PC",20,"Competition",8,0,2,1,1,0,3,1,2,0,0,1,0,0,1,0,1,1,3,"Male",20,"Student","High School","Germany","Germany","Multiplayer",5,19,14,0
424,0,0,0,1,3,0,0,"Not difficult at all",3,5,4,4,2,"League of Legends","PC",20,"Fun",10,0,3,2,3,1,2,3,3,3,0,2,2,1,0,2,2,1,1,"Male",24,"Unemployed","High School","UK","Denmark","Multiplayer",4,18,30,0
425,0,0,0,0,0,1,0,"Not difficult at all",2,4,3,3,2,"League of Legends","PC",50,"Competition",5,0,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,1,4,"Male",20,"Student","High School","Canada","Canada","Multiplayer",1,14,8,0
426,1,0,1,2,1,1,0,"Somewhat difficult",4,5,5,5,2,"League of Legends","PC",20,"Fun",5,1,0,0,1,1,0,0,0,3,0,3,1,0,1,1,0,0,1,"Male",19,"Student","High School","Unknown","Netherlands","Multiplayer",6,21,12,0
428,0,0,1,0,1,1,0,"Not difficult at all",5,7,7,5,6,"League of Legends","PC",25,"Fun",4,1,0,0,1,1,0,1,2,0,0,0,0,1,0,0,1,1,4,"Male",18,"Student","None","Germany","Germany","Multiplayer",3,30,9,0
429,0,0,0,0,0,0,0,"Not difficult at all",6,6,5,7,5,"Starcraft 2","PC",6,"Fun",15,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,"Male",27,"Employed","Bachelors","USA","USA","Multiplayer",0,29,7,0
430,0,0,0,0,1,1,1,"Somewhat difficult",4,4,5,3,2,"Diablo 3","PC",15,"Fun",20,2,1,0,2,1,1,0,2,0,0,1,0,0,1,2,0,0,3,"Male",23,"Employed","High School","UK","UK","Singleplayer",3,18,13,0
431,0,0,1,1,1,0,0,"Not difficult at all",2,3,4,3,3,"Other","Console",5,"Fun",3,1,3,2,3,3,4,3,1,1,2,4,4,4,4,4,1,4,1,"Male",21,"Unemployed","High School","Portugal","Portugal","Multiplayer",3,15,48,0
432,1,1,1,0,0,1,0,"Somewhat difficult",5,6,6,4,3,"League of Legends","PC",10,"Fun",2,0,1,0,2,0,0,0,2,1,0,2,0,0,1,0,2,0,2,"Male",19,"Student","High School","USA","USA","Multiplayer",4,24,11,0
433,1,1,1,0,2,1,0,"Not difficult at all",2,1,3,2,2,"League of Legends","PC",25,"Fun",12,1,3,2,3,2,4,0,2,1,1,4,1,0,0,2,1,1,1,"Male",24,"Student","High School","Belgium","Belgium","Multiplayer",6,10,28,0
434,2,2,2,2,0,2,1,"Not difficult at all",4,6,4,3,1,"League of Legends","PC",28,"Fun",15,2,2,1,3,2,3,3,3,3,2,4,2,0,1,1,2,1,1,"Male",19,"Student","High School","Canada","Canada","Multiplayer",11,18,35,1
435,0,0,1,0,0,1,0,"Not difficult at all",3,4,3,2,2,"League of Legends","PC",10,"Competition",10,0,1,1,1,1,2,0,1,2,1,3,0,0,1,0,0,0,2,"Male",19,"Student","High School","Germany","Germany","Multiplayer",2,14,14,0
436,2,2,2,2,2,2,2,"Somewhat difficult",1,2,2,1,2,"League of Legends","PC",4,"Fun",3,2,2,2,0,2,2,2,2,2,0,0,1,1,1,2,0,1,3,"Male",20,"Student","High School","China","Canada","Singleplayer",14,8,22,1
437,1,1,1,0,1,1,0,"Somewhat difficult",3,5,1,2,1,"League of Legends","PC",16,"Competition",5,2,3,2,3,2,3,4,4,4,2,3,1,3,3,3,1,3,2,"Male",20,"Student","High School","Malaysia","Singapore","Multiplayer",5,12,46,0
438,1,0,0,1,2,1,2,"Somewhat difficult",4,4,3,3,2,"Hearthstone","PC",20,"Competition",20,0,0,0,1,1,1,0,0,0,1,0,1,0,0,2,0,0,2,"Male",18,"Student","High School","USA","USA","Multiplayer",7,16,7,0
439,1,1,0,0,1,0,1,"Not difficult at all",6,6,6,4,5,"League of Legends","PC",3,"Fun",4,1,0,0,2,2,1,1,0,1,0,2,2,0,1,1,0,0,1,"Male",21,"Student","Bachelors","Netherlands","Netherlands","Multiplayer",4,27,14,0
440,0,0,0,0,0,1,0,"Not difficult at all",6,6,7,7,6,"League of Legends","PC",2,"Fun",10,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,"Male",38,"Employed","Masters","Netherlands","Germany","Multiplayer",1,32,7,0
441,1,0,1,0,0,0,1,"Not difficult at all",6,5,6,7,5,"League of Legends","PC",50,"Competition",6,2,0,1,4,2,1,0,0,2,1,0,3,0,0,1,0,2,2,"Male",18,"Student","High School","Germany","Germany","Multiplayer",3,29,19,0
442,0,1,2,1,0,0,2,"Somewhat difficult",3,5,6,3,3,"League of Legends","PC",24,"Fun",5,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,2,"Male",20,"Student","High School","Turkey","Germany","Multiplayer",6,20,6,0
443,0,0,0,0,0,0,0,"Not difficult at all",4,5,5,5,4,"League of Legends","PC",20,"Fun",20,0,1,0,3,1,1,1,1,0,0,3,1,0,1,0,0,0,1,"Male",20,"Student","High School","Czech Republic","Czech Republic","Multiplayer",0,23,13,0
444,1,0,1,0,0,0,0,"Not difficult at all",6,6,7,4,5,"League of Legends","PC",8,"Fun",2,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,"Male",23,"Employed","Bachelors","UK","UK","Multiplayer",2,28,6,0
445,2,2,3,3,1,2,3,"Not difficult at all",1,4,1,1,5,"League of Legends","PC",48,"Competition",20,2,0,2,3,3,3,2,4,4,2,4,2,3,3,3,3,2,1,"Male",23,"Unemployed","High School","Philippines","Philippines","Multiplayer",16,12,45,1
446,1,0,0,1,0,1,0,"Somewhat difficult",5,5,5,5,5,"League of Legends","PC",16,"Competition",4,1,1,3,2,4,2,0,4,2,1,2,2,1,1,1,1,1,1,"Male",23,"Student","High School","Japan","Germany","Multiplayer",3,25,29,0
448,1,1,0,0,0,1,3,"Somewhat difficult",4,3,5,6,2,"Other","PC",15,"Competition",5,1,4,0,2,1,1,1,0,0,0,1,0,0,1,0,0,0,2,"Male",27,"Employed","Masters","Estonia","Estonia","Multiplayer",6,20,12,0
449,0,0,1,1,1,2,0,"Somewhat difficult",2,1,6,5,3,"League of Legends","PC",25,"Competition",20,2,1,2,1,3,1,1,2,1,3,0,3,3,1,1,3,3,2,"Male",21,"Unemployed","High School","USA","USA","Multiplayer",5,17,31,0
451,1,1,1,2,1,0,2,"Somewhat difficult",3,3,5,6,6,"Starcraft 2","PC",15,"Fun",2,2,2,0,2,1,1,1,1,3,0,1,1,0,1,1,1,3,2,"Male",30,"Employed","Bachelors","USA","USA","Multiplayer",8,23,21,0
452,1,1,1,1,0,0,1,"Somewhat difficult",4,4,3,3,3,"League of Legends","PC",14,"Competition",4,2,0,3,1,0,0,0,3,2,0,3,0,0,0,0,1,0,1,"Male",25,"Student","High School","Venezuela","Venezuela","Multiplayer",5,17,15,0
453,0,0,1,1,0,0,0,"Not difficult at all",6,6,6,6,3,"League of Legends","PC",5,"Competition",8,1,3,3,2,1,1,2,4,2,3,4,2,3,2,2,0,2,2,"Male",21,"Student","Bachelors","USA","USA","Multiplayer",2,27,37,0
454,3,3,2,2,3,3,3,"Somewhat difficult",3,3,4,3,4,"League of Legends","PC",12,"Fun",6,0,0,2,0,4,3,0,4,1,0,1,2,0,0,0,0,0,2,"Male",18,"Student","None","Sweden","Sweden","Multiplayer",19,17,17,1
455,2,0,0,1,0,3,2,"Not difficult at all",1,1,1,1,1,"League of Legends","PC",30,"Competition",12,3,0,1,4,0,1,4,3,4,0,1,0,0,1,0,1,3,1,"Male",26,"Employed","High School","Canada","Canada","Multiplayer",8,5,26,0
456,1,0,0,1,0,0,2,"Somewhat difficult",2,2,2,2,5,"League of Legends","PC",4,"Fun",15,0,0,2,3,1,2,0,3,4,2,3,2,0,4,1,0,1,1,"Male",21,"Student","Bachelors","Brazil","Brazil","Multiplayer",4,13,28,0
457,2,1,1,0,0,0,1,"Somewhat difficult",2,3,3,2,2,"League of Legends","PC",55,"Competition",40,2,1,4,4,2,4,2,4,4,4,4,0,1,4,4,3,3,1,"Male",19,"Unemployed","High School","UK","Norway","Multiplayer",5,12,50,0
458,1,0,0,0,1,0,3,"Somewhat difficult",5,4,6,3,1,"League of Legends","PC",30,"Fun",20,0,1,0,1,0,2,0,0,4,1,1,0,0,1,2,0,0,2,"Male",18,"Student","High School","Brazil","Brazil","Multiplayer",5,19,13,0
459,0,0,0,0,1,1,0,"Somewhat difficult",3,5,5,5,4,"League of Legends","PC",5,"Competition",21,0,1,0,0,0,1,4,0,1,0,1,0,1,1,1,0,1,1,"Male",18,"Student","High School","UK","UK","Multiplayer",2,22,12,0
